t,speed_kmh,acceleration_m_s2,distance_m,related_center_distance_m,x,y
0.0,0.0,0.0,0.0,5.462600113499065,0.0,7.15
0.1,0.0,0.0,0.0,5.330969928232197,0.0,7.15
0.2,0.0,0.0,0.0,5.195564544037924,0.0,7.15
0.3,0.0,0.0,0.0,5.056913779324698,0.0,7.15
0.4,0.0,0.0,0.0,4.9155575449383155,0.0,7.15
0.5,0.0,0.0,0.0,4.772046731634132,0.0,7.15
0.6,0.0,0.0,0.0,4.626945016838757,0.0,7.15
0.7,0.0,0.0,0.0,4.480827144857967,0.0,7.15
0.8,0.0,0.0,0.0,4.334283359229759,0.0,7.15
0.9,0.0,0.0,0.0,4.187916699536418,0.0,7.15
1.0,0.0,0.0,0.0,4.042347902209804,0.0,7.15
1.1,0.0,0.0,0.0,3.8982105282502384,0.0,7.15
1.2,0.0,0.0,0.0,3.756154159404137,0.0,7.15
1.3,0.0,0.0,0.0,3.616843347135869,0.0,7.15
1.4,0.0,0.0,0.0,3.4809539446538214,0.0,7.15
1.5,0.0,0.0,0.0,3.3491697579549475,0.0,7.15
1.6,0.0,0.0,0.0,3.222180314259275,0.0,7.15
1.7,0.0,0.0,0.0,3.1006686924474858,0.0,7.15
1.8,0.0,0.0,0.0,2.985304253321594,0.0,7.15
1.9,0.0,0.0,0.0,2.8767290025028425,0.0,7.15
2.0,0.0,0.0,0.0,2.7755387400077844,0.0,7.15
2.1,0.0,0.0,0.0,2.6822662334348917,0.0,7.15
2.2,0.0,0.0,0.0,2.59735435566655,0.0,7.15
2.3,0.0,0.0,0.0,2.5211369863553625,0.0,7.15
2.4,0.0,0.0,0.0,2.4538119177983058,0.0,7.15
2.5,0.0,0.0,0.0,2.395423113843565,0.0,7.15
2.6,0.0,0.0,0.0,2.345846659207716,0.0,7.15
2.7,0.0,0.0,0.0,2.304782546688733,0.0,7.15
2.8,0.0,0.0,0.0,2.271761340986328,0.0,7.15
2.9,0.0,0.0,0.0,2.246156890817959,0.0,7.15
3.0,0.0,0.0,0.0,2.2272104994564392,0.0,7.15
3.1,0.0,0.0,0.0,2.214061369961547,0.0,7.15
3.2,0.0,0.0,0.0,2.2057821816491767,0.0,7.15
3.3,0.0,0.0,0.0,2.2014162659999132,0.0,7.15
3.4,0.0,0.0,0.0,2.200013161801538,0.0,7.15
3.5,0.0,0.0,0.0,2.2006620387001727,0.0,7.15
3.6,0.0,0.0,0.0,2.202521448158905,0.0,7.15
3.7,0.0,0.0,0.0,2.2048457809563464,0.0,7.15
3.8,0.0,0.0,0.0,2.207008690400652,0.0,7.15
3.9,0.0,0.0,0.0,2.208525042368549,0.0,7.15
4.0,0.0,0.0,0.0,2.209072203437452,0.0,7.15
4.1,0.0,0.0,0.0,2.209072203437452,0.0,7.15
4.2,0.0,0.0,0.0,2.209072203437452,0.0,7.15
4.3,0.0,0.0,0.0,2.209072203437452,0.0,7.15
4.4,0.0,0.0,0.0,2.209072203437452,0.0,7.15
4.5,0.0,0.0,0.0,2.209072203437452,0.0,7.15
4.6,0.0,0.0,0.0,2.209072203437452,0.0,7.15
4.7,0.0,0.0,0.0,2.209072203437452,0.0,7.15
4.8,0.0,0.0,0.0,2.209072203437452,0.0,7.15
4.9,0.0,0.0,0.0,2.209072203437452,0.0,7.15
5.0,0.0,0.0,0.0,2.209072203437452,0.0,7.15
5.1,0.0,0.0,0.0,2.209072203437452,0.0,7.15
5.2,0.0,0.0,0.0,2.209072203437452,0.0,7.15
5.3,0.0,0.0,0.0,2.209072203437452,0.0,7.15
5.4,0.0,0.0,0.0,2.209072203437452,0.0,7.15
5.5,0.0,0.0,0.0,2.209072203437452,0.0,7.15
5.6,0.0,0.0,0.0,2.209072203437452,0.0,7.15
5.7,0.0,0.0,0.0,2.209072203437452,0.0,7.15
5.8,0.0,0.0,0.0,2.209072203437452,0.0,7.15
5.9,0.0,0.0,0.0,2.209072203437452,0.0,7.15
6.0,0.0,0.0,0.0,2.209072203437452,0.0,7.15
6.1,0.0,0.0,0.0,2.209072203437452,0.0,7.15
6.2,0.0,0.0,0.0,2.209072203437452,0.0,7.15
6.3,0.0,0.0,0.0,2.209072203437452,0.0,7.15
6.4,0.0,0.0,0.0,2.209072203437452,0.0,7.15
6.5,0.0,0.0,0.0,2.209072203437452,0.0,7.15
6.6,0.0,0.0,0.0,2.209072203437452,0.0,7.15
6.7,0.0,0.0,0.0,2.209072203437452,0.0,7.15
6.8,0.0,0.0,0.0,2.209072203437452,0.0,7.15
6.9,0.0,0.0,0.0,2.209072203437452,0.0,7.15
7.0,0.0,0.0,0.0,2.209072203437452,0.0,7.15
7.1,0.0,0.0,0.0,2.209072203437452,0.0,7.15
7.2,0.0,0.0,0.0,2.209072203437452,0.0,7.15
7.3,0.0,0.0,0.0,2.209072203437452,0.0,7.15
7.4,0.0,0.0,0.0,2.209072203437452,0.0,7.15
7.5,0.0,0.0,0.0,2.209072203437452,0.0,7.15
7.6,0.0,0.0,0.0,2.209072203437452,0.0,7.15
7.7,0.0,0.0,0.0,2.209072203437452,0.0,7.15
7.8,0.0,0.0,0.0,2.209072203437452,0.0,7.15
7.9,0.0,0.0,0.0,2.209072203437452,0.0,7.15
8.0,0.0,0.0,0.0,2.209072203437452,0.0,7.15
8.1,0.0,0.0,0.0,2.209072203437452,0.0,7.15
8.2,0.0,0.0,0.0,2.209072203437452,0.0,7.15
8.3,0.0,0.0,0.0,2.209072203437452,0.0,7.15
8.4,0.0,0.0,0.0,2.209072203437452,0.0,7.15
8.5,0.0,0.0,0.0,2.209072203437452,0.0,7.15
8.6,0.0,0.0,0.0,2.209072203437452,0.0,7.15
8.7,0.0,0.0,0.0,2.209072203437452,0.0,7.15
8.8,0.0,0.0,0.0,2.209072203437452,0.0,7.15
8.9,0.0,0.0,0.0,2.209072203437452,0.0,7.15
9.0,0.0,0.0,0.0,2.209072203437452,0.0,7.15
9.1,0.0,0.0,0.0,2.209072203437452,0.0,7.15
9.2,0.0,0.0,0.0,2.209072203437452,0.0,7.15
9.3,0.0,0.0,0.0,2.209072203437452,0.0,7.15
9.4,0.0,0.0,0.0,2.209072203437452,0.0,7.15
9.5,0.0,0.0,0.0,2.209072203437452,0.0,7.15
9.6,0.0,0.0,0.0,2.209072203437452,0.0,7.15
9.7,0.0,0.0,0.0,2.209072203437452,0.0,7.15
9.8,0.0,0.0,0.0,2.209072203437452,0.0,7.15
9.9,0.0,0.0,0.0,2.209072203437452,0.0,7.15
10.0,0.0,0.0,0.0,2.209072203437452,0.0,7.15
10.1,0.0,0.0,0.0,2.209072203437452,0.0,7.15
10.2,0.0,0.0,0.0,2.209072203437452,0.0,7.15
10.3,0.0,0.0,0.0,2.209072203437452,0.0,7.15
10.4,0.0,0.0,0.0,2.209072203437452,0.0,7.15
10.5,0.0,0.0,0.0,2.209072203437452,0.0,7.15
10.6,0.0,0.0,0.0,2.209072203437452,0.0,7.15
10.7,0.0,0.0,0.0,2.209072203437452,0.0,7.15
10.8,0.0,0.0,0.0,2.209072203437452,0.0,7.15
10.9,0.0,0.0,0.0,2.209072203437452,0.0,7.15
11.0,0.0,0.0,0.0,2.209072203437452,0.0,7.15
11.1,0.0,0.0,0.0,2.209072203437452,0.0,7.15
11.2,0.0,0.0,0.0,2.209072203437452,0.0,7.15
11.3,0.0,0.0,0.0,2.209072203437452,0.0,7.15
11.4,0.0,0.0,0.0,2.209072203437452,0.0,7.15
11.5,0.0,0.0,0.0,2.209072203437452,0.0,7.15
11.6,0.0,0.0,0.0,2.209072203437452,0.0,7.15
11.7,0.0,0.0,0.0,2.209072203437452,0.0,7.15
11.8,0.0,0.0,0.0,2.209072203437452,0.0,7.15
11.9,0.0,0.0,0.0,2.209072203437452,0.0,7.15
12.0,0.0,0.0,0.0,2.209072203437452,0.0,7.15
12.1,0.0,0.0,0.0,2.209072203437452,0.0,7.15
12.2,0.0,0.0,0.0,2.209072203437452,0.0,7.15
12.3,0.0,0.0,0.0,2.209072203437452,0.0,7.15
12.4,0.0,0.0,0.0,2.209072203437452,0.0,7.15
12.5,0.0,0.0,0.0,2.209072203437452,0.0,7.15
12.6,0.0,0.0,0.0,2.209072203437452,0.0,7.15
12.7,0.0,0.0,0.0,2.209072203437452,0.0,7.15
12.8,0.0,0.0,0.0,2.209072203437452,0.0,7.15
12.9,0.0,0.0,0.0,2.209072203437452,0.0,7.15
13.0,0.0,0.0,0.0,2.209072203437452,0.0,7.15
13.1,0.0,0.0,0.0,2.209072203437452,0.0,7.15
13.2,0.0,0.0,0.0,2.209072203437452,0.0,7.15
13.3,0.0,0.0,0.0,2.209072203437452,0.0,7.15
13.4,0.0,0.0,0.0,2.209072203437452,0.0,7.15
13.5,0.0,0.0,0.0,2.209072203437452,0.0,7.15
13.6,0.0,0.0,0.0,2.209072203437452,0.0,7.15
13.7,0.0,0.0,0.0,2.209072203437452,0.0,7.15
13.8,0.0,0.0,0.0,2.209072203437452,0.0,7.15
13.9,0.0,0.0,0.0,2.209072203437452,0.0,7.15
14.0,0.0,0.0,0.0,2.209072203437452,0.0,7.15
14.1,0.0,0.0,0.0,2.209072203437452,0.0,7.15
14.2,0.0,0.0,0.0,2.209072203437452,0.0,7.15
14.3,0.0,0.0,0.0,2.209072203437452,0.0,7.15
14.4,0.0,0.0,0.0,2.209072203437452,0.0,7.15
14.5,0.0,0.0,0.0,2.209072203437452,0.0,7.15
14.6,0.0,0.0,0.0,2.209072203437452,0.0,7.15
14.7,0.0,0.0,0.0,2.209072203437452,0.0,7.15
14.8,0.0,0.0,0.0,2.209072203437452,0.0,7.15
14.9,0.0,0.0,0.0,2.209072203437452,0.0,7.15
15.0,0.0,0.0,0.0,2.209072203437452,0.0,7.15
15.1,0.0,0.0,0.0,2.209072203437452,0.0,7.15
15.2,0.0,0.0,0.0,2.209072203437452,0.0,7.15
15.3,0.0,0.0,0.0,2.209072203437452,0.0,7.15
15.4,0.0,0.0,0.0,2.209072203437452,0.0,7.15
15.5,0.0,0.0,0.0,2.209072203437452,0.0,7.15
15.6,0.0,0.0,0.0,2.209072203437452,0.0,7.15
15.7,0.0,0.0,0.0,2.209072203437452,0.0,7.15
15.8,0.0,0.0,0.0,2.209072203437452,0.0,7.15
15.9,0.0,0.0,0.0,2.209072203437452,0.0,7.15
16.0,0.0,0.0,0.0,2.209072203437452,0.0,7.15
16.1,0.0,0.0,0.0,2.209072203437452,0.0,7.15
16.2,0.0,0.0,0.0,2.209072203437452,0.0,7.15
16.3,0.0,0.0,0.0,2.209072203437452,0.0,7.15
16.4,0.0,0.0,0.0,2.209072203437452,0.0,7.15
16.5,0.0,0.0,0.0,2.209072203437452,0.0,7.15
16.6,0.0,0.0,0.0,2.209072203437452,0.0,7.15
16.7,0.0,0.0,0.0,2.209072203437452,0.0,7.15
16.8,0.0,0.0,0.0,2.209072203437452,0.0,7.15
16.9,0.0,0.0,0.0,2.209072203437452,0.0,7.15
17.0,0.0,0.0,0.0,2.209072203437452,0.0,7.15
17.1,0.0,0.0,0.0,2.209072203437452,0.0,7.15
17.2,0.0,0.0,0.0,2.209072203437452,0.0,7.15
17.3,0.0,0.0,0.0,2.209072203437452,0.0,7.15
17.4,0.0,0.0,0.0,2.209072203437452,0.0,7.15
17.5,0.0,0.0,0.0,2.209072203437452,0.0,7.15
17.6,0.0,0.0,0.0,2.209072203437452,0.0,7.15
17.7,0.0,0.0,0.0,2.209072203437452,0.0,7.15
17.8,0.0,0.0,0.0,2.209072203437452,0.0,7.15
17.9,0.0,0.0,0.0,2.209072203437452,0.0,7.15
18.0,0.0,0.0,0.0,2.209072203437452,0.0,7.15
18.1,0.0,0.0,0.0,2.209072203437452,0.0,7.15
18.2,0.0,0.0,0.0,2.209072203437452,0.0,7.15
18.3,0.0,0.0,0.0,2.209072203437452,0.0,7.15
18.4,0.0,0.0,0.0,2.209072203437452,0.0,7.15
18.5,0.0,0.0,0.0,2.209072203437452,0.0,7.15
18.6,0.0,0.0,0.0,2.209072203437452,0.0,7.15
18.7,0.0,0.0,0.0,2.209072203437452,0.0,7.15
18.8,0.0,0.0,0.0,2.209072203437452,0.0,7.15
18.9,0.0,0.0,0.0,2.209072203437452,0.0,7.15
19.0,0.0,0.0,0.0,2.209072203437452,0.0,7.15
19.1,0.0,0.0,0.0,2.209072203437452,0.0,7.15
19.2,0.0,0.0,0.0,2.209072203437452,0.0,7.15
19.3,0.0,0.0,0.0,2.209072203437452,0.0,7.15
19.4,0.0,0.0,0.0,2.209072203437452,0.0,7.15
19.5,0.0,0.0,0.0,2.209072203437452,0.0,7.15
19.6,0.0,0.0,0.0,2.209072203437452,0.0,7.15
19.7,0.0,0.0,0.0,2.209072203437452,0.0,7.15
19.8,0.0,0.0,0.0,2.209072203437452,0.0,7.15
19.9,0.0,0.0,0.0,2.209072203437452,0.0,7.15
20.0,0.0,0.0,0.0,2.209072203437452,0.0,7.15
20.1,0.0,0.0,0.0,2.209072203437452,0.0,7.15
20.2,0.0,0.0,0.0,2.209072203437452,0.0,7.15
20.3,0.0,0.0,0.0,2.209072203437452,0.0,7.15
20.4,0.0,0.0,0.0,2.209072203437452,0.0,7.15
20.5,0.0,0.0,0.0,2.209072203437452,0.0,7.15
20.6,0.0,0.0,0.0,2.209072203437452,0.0,7.15
20.7,0.0,0.0,0.0,2.209072203437452,0.0,7.15
20.8,0.0,0.0,0.0,2.209072203437452,0.0,7.15
20.9,0.0,0.0,0.0,2.209072203437452,0.0,7.15
21.0,0.0,0.0,0.0,2.209072203437452,0.0,7.15
21.1,0.0,0.0,0.0,2.209072203437452,0.0,7.15
21.2,0.0,0.0,0.0,2.209072203437452,0.0,7.15
21.3,0.0,0.0,0.0,2.209072203437452,0.0,7.15
21.4,0.0,0.0,0.0,2.209072203437452,0.0,7.15
21.5,0.0,0.0,0.0,2.209072203437452,0.0,7.15
21.6,0.0,0.0,0.0,2.209072203437452,0.0,7.15
21.7,0.0,0.0,0.0,2.209072203437452,0.0,7.15
21.8,0.0,0.0,0.0,2.209072203437452,0.0,7.15
21.9,0.0,0.0,0.0,2.209072203437452,0.0,7.15
22.0,0.0,0.0,0.0,2.209072203437452,0.0,7.15
22.1,0.0,0.0,0.0,2.209072203437452,0.0,7.15
22.2,0.0,0.0,0.0,2.209072203437452,0.0,7.15
