t,speed_kmh,acceleration_m_s2,distance_m,related_center_distance_m,x,y
0.0,6.844028440283531,0.06724263046924195,0.0,,-165.0,1.65
0.1,6.86778867788731,0.06711675508449311,0.19033999999999196,,-164.80966,1.65
0.2,6.89262892628847,0.06686500431499454,0.38133999999999446,,-164.61866,1.65
0.3,6.916389163889179,0.0666132535455013,0.5730100000000107,,-164.42699,1.65
0.4,6.940149401492958,0.06636150277603114,0.7653500000000122,,-164.23465,1.65
0.5,6.963909639096748,0.06611814369876079,0.958359999999999,,-164.04164,1.65
0.6,6.987669876700504,0.06572093692979131,1.1520199999999932,,-163.84798,1.65
0.7,7.011430114301212,0.06560555116051958,1.3463399999999979,,-163.65366,1.65
0.8,7.035190351901946,0.06568597154389977,1.5413200000000131,,-163.45868,1.65
0.9,7.058950589505724,0.06543072423554186,1.7369500000000073,,-163.26305,1.65
1.0,7.0816308163059585,0.06490974000550409,1.933240000000012,,-163.06676,1.65
1.1,7.105391053909785,0.06447616923739652,2.1301799999999957,,-162.86982,1.65
1.2,7.129151291510446,0.06416497731468063,2.327760000000012,,-162.67224,1.65
1.3,7.151831518313775,0.06413700500690034,2.5259900000000073,,-162.47401,1.65
1.4,7.174511745117102,0.06426987346928748,2.72487000000001,,-162.27513,1.65
1.5,7.1971919719204305,0.06378035808485905,2.9243899999999883,,-162.07561,1.65
1.6,7.2209522095211875,0.0635565796228903,3.124539999999996,,-161.87546,1.65
1.7,7.243632436324468,0.06375937885382399,3.3253400000000113,,-161.67466,1.65
1.8,7.267392673928245,0.06360553116099332,3.526759999999996,,-161.47324,1.65
1.9,7.288992889931122,0.06325587731461901,3.728829999999988,,-161.27117,1.65
2.0,7.31167311673143,0.06296216808381416,3.931520000000006,,-161.06848,1.65
2.1,7.335433354335209,0.06288524423710307,4.134839999999997,,-160.86516,1.65
2.2,7.3570335703380865,0.06256006615922693,4.338789999999989,,-160.66121,1.65
2.3,7.379713797138246,0.062374749620087044,4.543360000000007,,-160.45664,1.65
2.4,7.402394023941573,0.06220691577401993,4.748559999999998,,-160.25144,1.65
2.5,7.425074250741931,0.061490125389193295,4.9543700000000115,,-160.04563,1.65
2.6,7.446674466744808,0.06143068423594933,5.160809999999998,,-159.83919,1.65
2.7,7.468274682744616,0.061371243083220506,5.367860000000007,,-159.63214,1.65
2.8,7.490954909547844,0.060780328083057,5.575520000000012,,-159.42448,1.65
2.9,7.512555125550721,0.06045515000616852,5.783800000000014,,-159.2162,1.65
3.0,7.534155341553698,0.060339764237175686,5.992680000000007,,-159.00732,1.65
3.1,7.556835568357027,0.06018591654508043,6.202169999999995,,-158.79783,1.65
3.2,7.5773557735563815,0.059836262699265674,6.412270000000007,,-158.58773,1.65
3.3,7.598955989559158,0.05973486308358211,6.622970000000009,,-158.37703,1.65
3.4,7.6205562055620355,0.05991668308355358,6.834270000000004,,-158.16573,1.65
3.5,7.642156421565013,0.05981528346806009,7.046169999999989,,-157.95383,1.65
3.6,7.66375663756789,0.05990969000616708,7.258659999999992,,-157.74134,1.65
3.7,7.6853568535707675,0.0599516484669973,7.471749999999986,,-157.52825,1.65
3.8,7.706957069570473,0.05950059500452909,7.685429999999997,,-157.31457,1.65
3.9,7.72855728557335,0.05903555538893279,7.899699999999996,,-157.1003,1.65
4.0,7.74907749077281,0.058500585004539474,8.114560000000012,,-156.88544,1.65
4.1,7.77067770677548,0.057839739235838294,8.330000000000013,,-156.67,1.65
4.2,7.791197911978113,0.05740616846795987,8.546030000000002,,-156.45397,1.65
4.3,7.811718117180539,0.057360713468185054,8.762640000000005,,-156.23736,1.65
4.4,7.832238322382966,0.0575809953910742,8.979829999999993,,-156.02017,1.65
4.5,7.852758527585392,0.05753554039139175,9.197599999999994,,-155.8024,1.65
4.6,7.873278732787609,0.05742015462225858,9.415940000000006,,-155.58406,1.65
4.7,7.894878948790696,0.057304768853025934,9.63485,,-155.36515,1.65
4.8,7.915399153990053,0.056815253467661364,9.854330000000004,,-155.14567,1.65
4.9,7.935919359195548,0.05652154423639999,10.07437999999999,,-154.92562,1.65
5.0,7.955359553597524,0.05614042154378218,10.294999999999987,,-154.705,1.65
5.1,7.975879758799738,0.055580975389638354,10.516179999999991,,-154.48382,1.65
5.2,7.995319953198856,0.0556054511590105,10.737930000000006,,-154.26207,1.65
5.3,8.015840158401282,0.05596559462024686,10.960229999999996,,-154.03977,1.65
5.4,8.036360363603709,0.05612993192798754,11.183089999999993,,-153.81691,1.65
5.5,8.055800558005686,0.055976084236981194,11.406509999999997,,-153.59349,1.65
5.6,8.076320763207896,0.0557907676990812,11.630470000000003,,-153.36953,1.65
5.7,8.096840968410538,0.05532572808236935,11.854989999999987,,-153.14501,1.65
5.8,8.116281162812513,0.054399145388861925,12.080060000000003,,-152.91994,1.65
5.9,8.13572135721449,0.054091450004545294,12.305679999999995,,-152.69432,1.65
6.0,8.155161551616464,0.05383620269719813,12.531839999999988,,-152.46816,1.65
6.1,8.174601746015153,0.05351102462046775,12.75854000000001,,-152.24146,1.65
6.2,8.192961929616896,0.05350403154387351,12.985790000000009,,-152.01421,1.65
6.3,8.21240212402194,0.053350183851954114,13.213570000000004,,-151.78643,1.65
6.4,8.232922329224367,0.05333619769852582,13.441879999999998,,-151.55812,1.65
6.5,8.251282512825892,0.05343060423748014,13.670739999999995,,-151.32926,1.65
6.6,8.270722707227646,0.053259273852214406,13.900119999999987,,-151.09988,1.65
6.7,8.289082890829391,0.05298304731241821,14.130030000000005,,-150.86997,1.65
6.8,8.308523085231368,0.05257045577374875,14.360469999999992,,-150.63953,1.65
6.9,8.327963279633343,0.052157864235500284,14.591430000000003,,-150.40857,1.65
7.0,8.346323463234867,0.05188163769698306,14.82292000000001,,-150.17708,1.65
7.1,8.364683646836168,0.05171030731186832,15.054930000000013,,-149.94507,1.65
7.2,8.384123841238369,0.05161240423492153,15.287450000000007,,-149.71255,1.65
7.3,8.401404014039443,0.05133967423601504,15.520499999999998,,-149.4795,1.65
7.4,8.419764197640967,0.051154357697683395,15.75406000000001,,-149.24594,1.65
7.5,8.439204392042942,0.05112638538969172,15.98812000000001,,-149.01188,1.65
7.6,8.457564575644241,0.050815193466787534,16.222700000000003,,-148.7773,1.65
7.7,8.475924759249061,0.050699807697590416,16.45778999999999,,-148.54221,1.65
7.8,8.493204932050135,0.05040609846636457,16.693389999999994,,-148.30661,1.65
7.9,8.51156511564859,0.04990259692776,16.929480000000012,,-148.07052,1.65
8.0,8.529925299252957,0.0496683288512223,17.166079999999994,,-147.83392,1.65
8.1,8.54720547205403,0.049304688850972056,17.403179999999992,,-147.59682,1.65
8.2,8.565565655655554,0.049290702697513566,17.640770000000003,,-147.35923,1.65
8.3,8.582845828457087,0.049402591928753736,17.878860000000003,,-147.12114,1.65
8.4,8.601206012061681,0.04919979269745234,18.117439999999988,,-146.88256,1.65
8.5,8.617406174061845,0.048944545389822736,18.35651999999999,,-146.64348,1.65
8.6,8.63576635766337,0.04858090538972881,18.59608,,-146.40392,1.65
8.7,8.654126541264892,0.048395588850908666,18.836119999999994,,-146.16388,1.65
8.8,8.671406714066428,0.04814034154333591,19.07665,,-145.92335,1.65
8.9,8.687606876070122,0.047633343466996436,19.317669999999993,,-145.68233,1.65
9.0,8.70488704887073,0.04731865500591326,19.55915999999999,,-145.44084,1.65
9.1,8.722167221671805,0.04725571731284717,19.80113,,-145.19887,1.65
9.2,8.739447394475949,0.047388585773761704,20.04357999999999,,-144.95642,1.65
9.3,8.755647556477037,0.04769628115833591,20.28649999999999,,-144.7135,1.65
9.4,8.772927729278113,0.046951518466118,20.529889999999995,,-144.47011,1.65
9.5,8.79128791287917,0.043552883080987925,20.773740000000004,,-144.22626,1.65
9.6,8.807488074879792,0.042245177695948044,21.018069999999994,,-143.98193,1.65
9.7,8.823688236883484,0.04721725538892407,21.26285999999999,,-143.73714,1.65
9.8,8.84096840968503,0.056580985389981464,21.508109999999988,,-143.49189,1.65
9.9,8.856088560885201,0.0684832023142814,21.753829999999994,,-143.24617,1.65
10.0,8.877688776887606,0.08180851039236714,22.0,,-143.0,1.65
10.1,8.918729187292458,0.09474919923931502,22.246970000000005,,-142.75303,1.65
10.2,8.95976959769424,0.10523881462463969,22.49508,,-142.50492,1.65
10.3,8.99972999729912,0.11238224270297259,22.744310000000013,,-142.25569,1.65
10.4,9.038610386103073,0.11380533385785263,22.994650000000007,,-142.00535,1.65
10.5,9.077490774906542,0.10957801885784946,23.24609000000001,,-141.75391,1.65
10.6,9.11637116371049,0.10602203924234743,23.49860000000001,,-141.5014,1.65
10.7,9.15417154171399,0.10464440308812328,23.75218000000001,,-141.24782,1.65
10.8,9.191971919721048,0.1033716630880619,24.0068,,-140.9932,1.65
10.9,9.227612276123649,0.10175975885696076,24.262470000000008,,-140.73753,1.65
11.0,9.265412654126656,0.10018282001026968,24.519149999999996,,-140.48085,1.65
11.1,9.301053010529253,0.09914085154815488,24.776839999999993,,-140.22316,1.65
11.2,9.33561335613447,0.09778069808539591,25.035529999999994,,-139.96447,1.65
11.3,9.371253712537566,0.09629466923928476,25.29518999999999,,-139.70481,1.65
11.4,9.404734047339266,0.09464779962480918,25.55582000000001,,-139.44418,1.65
11.5,9.440374403744432,0.09334009424096124,25.81738999999999,,-139.18261,1.65
