t,speed_kmh,acceleration_m_s2,distance_m,related_center_distance_m,x,y
0.0,38.991158831546336,-0.14140947549142524,0.0,97.68969136281116,-96.88333,-4.52582
0.1,38.9509004064185,-0.23824857552956047,1.0827430537759155,96.60792880955476,-95.81636,-4.34168
0.2,38.85555239797857,-0.43192677560584514,2.163835571787207,95.52771176715424,-94.75051,-4.16078
0.3,38.69101217167137,-0.6256049756821156,3.2416156265293603,94.45070638290272,-93.68743,-3.98338
0.4,38.44178555213223,-0.8192831757582724,4.314018403334796,93.3789819752443,-92.62917,-3.80979
0.5,38.09964635731763,-1.060845474389815,5.37857770417247,92.31500979278505,-91.57818,-3.64036
0.6,37.66284994762217,-1.3008702325685206,6.432663902023481,91.26142607692749,-90.53708,-3.47541
0.7,37.14856121347868,-1.454972745841772,7.47377372235946,90.22073955062938,-89.50836,-3.31527
0.8,36.58371194113752,-1.5285524692669483,8.499970040078438,89.1948946683385,-88.49396,-3.16012
0.9,36.00766849763648,-1.5146813760091078,9.510228888691017,88.18492323184728,-87.49492,-3.00998
1.0,35.458962040245204,-1.4229111912001926,10.504593181895473,87.19078942844823,-86.51122,-2.86474
1.1,34.96643688638374,-1.2794191907576717,11.484108045999125,86.21145553625341,-85.54185,-2.72413
1.2,34.54338464760527,-1.1181392897688127,12.450493969944617,85.2452081597611,-84.58513,-2.5877899999999996
1.3,34.18437718222624,-0.971206820556624,13.405677396308384,84.29012706198633,-83.63917,-2.45537
1.4,33.87615130275786,-0.8608969234882125,14.351341151879033,83.3445353626499,-82.70232,-2.3265599999999997
1.5,33.59641917354221,-0.7931810293780188,15.288661437053738,82.40726246661637,-81.77343,-2.20113
1.6,33.3238718480572,-0.7595287201572916,16.218235873287867,81.47771597675589,-80.85192,-2.07895
1.7,33.05153510115765,-0.7416798561749047,17.140178112747588,80.55578741802852,-79.93769,-1.9599499999999999
1.8,32.77623434590497,-0.7203416883043587,18.05445147690079,79.64151858289117,-79.03079,-1.84407
1.9,32.50905026115198,-0.681560774414848,18.961064828335676,78.73490553196085,-78.13122,-1.7312799999999997
2.0,32.26077535175677,-0.6216663754350762,19.860334469600183,77.83563690947291,-77.23868,-1.62147
2.1,32.04197004487443,-0.5506271905813875,20.75290633852727,76.94307158537214,-76.35254,-1.51451
2.2,31.855081786202362,-0.4887333424790441,21.63962355263784,76.05637136597629,-75.47197,-1.41028
2.3,31.692345598489734,-0.4625117829640075,22.521353657658643,75.17467343034355,-74.59612,-1.3086199999999995
2.4,31.536295501304583,-0.498030271190828,23.398618134313203,74.29746117051376,-73.72448,-1.2094399999999996
2.5,31.359841569404008,-0.6124355406446114,24.271372904280113,73.4247837481521,-72.8571,-1.11273
2.6,31.130204830346745,-0.8090029808682431,25.1387511002823,72.55751284756802,-71.99485,-1.01855
2.7,30.81366507447251,-1.0734508984087725,25.99895246188318,71.69745303553327,-71.13953,-0.92704
2.8,30.385331817208453,-1.3731262598884442,26.849330626290048,70.84725491027864,-70.29378,-0.8384399999999996
2.9,29.835329707488803,-1.6619846481023117,27.686660099376954,70.01014711548962,-69.46082,-0.7530099999999996
3.0,29.175933384197457,-1.8906689363035056,28.50763649185118,69.18943642350688,-68.64395,-0.671
3.1,28.43739061048379,-2.0170842986682516,29.30946150100219,68.3879222117897,-67.84597,-0.59257
3.2,27.669906544483002,-2.0173252817668583,30.09041291159057,67.60732713803809,-67.06861,-0.51776
3.3,26.930994364839638,-1.892853565572679,30.850222851312342,66.84792016916158,-66.31215,-0.44648999999999966
3.4,26.268507863560856,-1.668989796448777,31.590132338209216,66.10846073277611,-65.57537,-0.37850999999999974
3.5,25.713987504862,-1.3893464816083068,32.31262399490845,65.38646807051288,-64.85581,-0.31349
3.6,25.278110548376464,-1.1069049304044825,33.02081110987173,64.67883150821449,-64.15038,-0.25106
3.7,24.94569035681966,-0.8726593279011894,33.71789453852285,63.982353787328734,-63.4559,-0.19087
3.8,24.686218196201043,-0.7240214940216774,34.40651094509475,63.29440218875679,-62.76975,-0.13263999999999976
3.9,24.462775371664623,-0.6793121415178476,35.088341761793444,62.61329916067113,-62.09026,-0.07618999999999974
4.0,24.231814372800212,-0.7369337373399958,35.76396459858924,61.93846972201121,-61.41686,-0.02143
4.1,23.958486471646097,-0.8760857145717509,36.43284166905885,61.27045384875568,-60.75008999999999,0.03162000000000046
4.2,23.61461712512614,-1.0635973074871004,37.09351479610428,60.610708857413144,-60.09141,0.0829
4.3,23.191858253688814,-1.2604448043635763,37.74393122309549,59.96128725427599,-59.44287,0.13227
4.4,22.69301949668234,-1.427439378220992,38.38190228905381,59.32437349762069,-58.80666,0.17964
